career,course,universities,job_titles,skills
,Bachelor in Technology (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Web Developer frontend and backend,"CSS3,  JQuery,  Bootstrap,  Ajax,  HTML5,  PHP,  HTML,  Codeigniter framework,  CSS"
,B.Com,,"I.T. Manager,  IT Systems Support Coordinator,  IT Systems Support Coordinator, Manager I.T. Head of Digitization Department,  Website Developer Technical Support Coordinator,  Data Processing Officer,  Software Developer,  Graphics & Computers Systems Coordinator,  Computer Operator","Touch Typing (Upto 65 Wpm),  Html Writing,  Corel Graphics (Draw / Paint Etc.),  Adobe Fireworks,  Microsoft Powerpoint,  Microsoft Word,  Microsoft Windows Xp,  Web Design,  Domain And Web Hosting"
,ITIL FOUNDATION,,"SQL DBA, Project Manager Systems Developer,  Project Management Senior Developer,  Senior Web Developer,  Web Developer,  Web Developer","T-SQL,  SQL Server Monitoring,  SQL Server Clustering,  SQL Server AlwaysOn Availability,  Capacity and Health Reporting,  SQL Server Auditing,  Business Analysis,  SQL Server Security,  SQL Server 2008R2"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Software Engineer,  Java Software Engineer","Node,  Java,  MongoDB,  C#,  JavaScript,  MYsql,  AngularJS"
,Time and Stress Management,,"Team Leader,  Senior Team Member,  Customer Service Team Member,  Document Specialist,  Documentation Specialist, User Manual Author,  Business Systems Nits Clerk,  Business Systems Nits User Manual Author,  Air Passenger Tax Team Member,  Nits Business Systems,  Developer for Training Manuals Fos,  Site Assessor Assessment Maintenance,  Registration Clerk Portfolio Maintenance","Train the Trainer and Coach,  User Manual Author,  Business Systems NITS Maintenance,  Branch Office - Registration (Portfolio Maintenance),  NITS - Business Systems,  Functional Training - FOS,  Air Passenger Tax Development and Maintenance,  Branch Office - Tracing/Summons (Enforcement),  Branch Office - SITE - Assessment Maintenance"
,Bachelor in Technology(IT),,"ETL Developer,  DBA/Data warehousing,  Informatica Developer","Business intelligence,  TPUMP,  Netezza,  Terada utilities,  Mload,  Fload,  FastExport,  SQL Server,  Tablea"
,MSc Plant Pathology,,"Agronomist,  Plant pathologist,  Laboratory Manager,  Lab Assistant,  Field Officer,  Field Research,  Agricultural Scientist,  Agriculturalist,  Agriculture,  Agricultural Manager, Teacher,  Chemistry (CMY 117 & CMY 127) tutor","Seed health testing,  Media preparation,  Germination and seed vigour testing,  Culture maintenance and inoculum production,  Inoculation techniques and disease assessment,  Resistance and biological control screening trials,  Report writing,  Laboratory management,  Planting and maintenance of plants"
,50064a Advanced Sharepoint Development,,"SQL developer,  SQL DBA,  Web Developer,  C#,  VB .Net Developer,  BI Analyst,  Reporting Analyst,  System Support,  Systems Analyst,  Web Developer, SNR Web Developer,  Developer,  Lead Developer,  Web Developer,  Web Applications Developer","HTML,  Msoffice 2000,  ASP,  Jscript,  Xslt,  Sql Server 2000/2005/2008,  Sql Server 2005,  Sql 2000,  Vb.Net"
,Bachelor of Technology,,"SharePoint Developer, .NET Developer","Html,  C# .NET,  Asp .NET,  Ajax,  Web Services,  Xml,  Java Script,  Jquery,  MS Charts"
,National Certificate,,"Junior Programmer,  IT Developer","Client Service(Arrear Councillor/Financial Servic),  It Developer,  Reasercher(It Industry),  It Assistant"
,Senior Certificate And Network Diploma,,"Field Service Engineer,  Client Services Consultant,  System Administrator,  Systems Analyst,  IT Support Technician,  Application Support, Pedometer Consultant,  System Administrator Associate","Time management,  Leadership,  Communication,  Project management,  u""Peoples skills"",  Reading Code,  Google Apps,  Using SQL,  Desktop Support"
,Starteam 2005 Advanced: Administering Projects,,"Technical Consultant,  Systems Consultant","Visual Basic 6,  Sql Server,  ASP,  Asp.Net,  C#,  Microsoft Access,  Vb.Net,  X++,  Axapta"
,Bachelor of Business Administration,,"Management,  New Business Developer,  Key Accounts Manager/Account Manager,  Sales Manager,  Call Centre Manager,  Customer Service Manager,  Operations Manager,  Key Accounts Manager/Account Manager, Key Account Manager New Business Developer,  Sales Manager - Call Center,  Key Account / New Business Manager","Change Maker,  Product Development,  Contract Negotiations,  Solutioning,  Key Accounts Management,  Complaint Resolution,  New Business Development,  Sales,  Sales Management"
,Fundamental Soa & Service-Oriented Computing,,"Solutions Architect,  Enterprise Architect,  Data Architect,  Head of Architecture,  ETL Developer,  IT / Project Manager, Business Intelligence Consultant,  Executive Manager,  Chief Technology Officer,  Information Security Manager IT Manager,  General Manager,  General Manager & Developer,  General Manager,  Student","Technical Team Lead,  Business Management,  Technical Documentation,  Business Intelligence,  Data Integration,  Solution Architecture,  ETL Design & Development,  Integration Specialist,  Technical Architecture"
,Bachelor Of Technology,,,Sap Abap
,Project Management: Perspective,,"Business Analyst,  User Interface Analyst,  Project Manager","Object Orientated programming,  HTML,  XML,  CSS,  ASP.NET,  SQL,  User ability Engineering,  Data Structures,  User Modelling and Processing Languages and design"
,Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","sql developer,  SQL Database Administrator,  Web Administrator,  SQL Server Developer,  Database Designer,  Database Developer,  C# Developer,  Web designer","SQL,  C#,  Bootstrap,  Html,  MySQL,  CSS,  web administration,  business analysis,  website development"
,Bachelor in Technology : Information Management,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Developer,  C# Developer,  ASP.NET Developer,  Vb.Net Developer, BI Analyst Developer,  Specialist Analyst Programmer,  Analyst Programmer,  NET Developer Application Programmer,  Graduate .NET Developer","Asp.Net 2.0 ,  3.0 And 3.5,  Developing Web Services,  Oracle,  Ajax Toolkits,  System Administration,  Visual Basic 6.0,  Developing Windows Services,  C#"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"Microcontroller Programming,  Computer Interfacing software and hardware development,  Industrial Automation,  Product Development,  PLC  Programming,  software development,  Matlab,  FPGA,  Android Programming"
,Bachelor of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",IT Developer,"IBM AppScan Security Specialist,  MS Office End User,  Android,  Android Development,  C#,  Cobol,  Java"
,Financial Managment,,,"Psychology Degree,  Honours Degree Psychology,  Financial Managment"
,Bachelor of Commerce Honours Informatics,,"Developer,  Analyst,  Application Support,  Analyst,  Application Support, Developer,  Developer,  GIS Junior Developer,  Data Capturer","SQL,  Html,  Dhtml ,  Css,  Javascript,  Jquery,  Sql Server 2008,  C# .NET 4.0,  Asp .NET"
,Infomation Technology,,Business Intelligent,"oracle,  ireport,  sql,  Java,  Csharp,  powerbi,  word,  powerpoint,  qlickview"
,ISTQB-Advanced Test Manager,,"Analyst Tester,  Senior Test Analyst,  Test Analyst, Applications Support,  ICT Specialist,  ICT Specialist","Microsof Office,  Project Management Skills,  MS TFS,  HP Quality Centre,  Test Plan Development,  Test Strategy Development,  Test Case/Matrix Development,  Test CAse Execusion,  Test Results Analysis"
,B.Com Informatics,,,"Microsoft Access With Sql,  Visual Basic 6,  Html/Webpage Designing,  Asp Programming With Access Db,  Remote Executing Commands On Systems,  Crystal Reports,  Sql Server"
,Certificate in Web Development and Graphic Design,,"Web Designer,  Graphic Designing","Photoshop,  PHP,  HTML,  Dreamweaver,  indesign,  Illustrutor,  I have more than 3 years experience developing websites and also in graphic degsing,  i can build online stores and also promote websites using google adwords,  i can work on deadlines"
,Matric,,General Manager,"Business Development,  General IT Management,  people management,  project management,  Network Management,  MS Exchange Server,  MSSQL,  DotNet Development"
,Microsoft Application,,,"It Support,  Designing And Devevoping Websites By Writing Html,  Programmining Using Visual Basic Language,  Microsoft Support"
,Ibm Lotus Clp Principal R6,,,"Lotus Domino Development,  Html,  Javascript,  Dhtml,  Com Api Programming Using Lotusscript And Vba,  Domino Cpp Api,  Db2 Database Development,  Domino.Doc ,  Notessql"
,Bachelor of Science  Hons Management Of Technology,,"Project Manager,  System Engineer,  Business Analyst,  System Engineer,  Business Analyst, Teaching Assistant Tutor,  Sales Assistant","Microsoft Projects,  Microsoft Office,  Computer Skills,  Visual Studio C++,  Leadership,  Project Management"
,Advanced Diploma in Information Resource Management,,"Project Manager, Project Coordinator,  Systems Administrator,  Project Administrator,  Intern Developer","Facilitation And Negotiation Skills,  Conflict Management And Reporting Skills,  Analytical And Problem Solving Skills,  Strong Organizational Skills (Incl. Prioritizing And Multitasking),  Time Management And Planning Skills,  Pmbok Methodology,  Prince2 Methodology,  SDLC"
,Busines  Objects Administartion And Authorisations,,"SAP Netweaver Copnsultant,  SAP Basis Consultant,  SAP Basis Consultant, SAP Basis Administrator,  SAP Basis Administrator,  SAP ABAP Developer,  Junoir Systems Administrator","Printers,  Government,  Microsoft Windows,  Cisco,  Compaq,  Sun Microsystems,  Basis Administration,  Organizational Skills,  Programming"
,Microsoft Cerified Developer,,"C# Developer,  Web Application Developer,  Software Designer,  React.JS","MVC,  ASP .NET,  C#,  XML & XSD (10 Months),  JavaScript (1 year) \u2022,  SharePoint Developer (12 months). \u2022,  SOAP UI (5 Months) \u2022,  MVC (2 Year) \u2022,  HTML 5 (1 year) \u2022"
,Sun Certified Java Programmer (Scjp),,"Senior Developer, IT Project Manager,  IT Manager,  Manager","Delphi,  Linux Server Maint Apache Sendmail Ect,  PHP,  Postgres,  Linux,  Oracle,  HTML,  Dhtml,  SOA"
,MSc Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Web Developer,"HTML,  WordPress,  MySQL,  Oracle,  Technical: Programming (PHP,  CSS,  restful APIS,  Microsoft Windows,  Microsoft Office 2007 / 2010 / 2013 / 2016"
